date_mid,file_pair,distance_tv2d,z
2025-10-03 14:31:14,20251003142418-TorIP_geocoded -> 20251003143810-TorIP_geocoded,0.001241,-0.908
2025-10-03 15:43:31,20251003143810-TorIP_geocoded -> 20251003164852-TorIP_geocoded,0.002050,-0.740
2025-10-03 17:09:19,20251003164852-TorIP_geocoded -> 20251003172946-TorIP_geocoded,0.000000,-1.166
2025-10-03 17:32:35,20251003172946-TorIP_geocoded -> 20251003173524-TorIP_geocoded,0.000000,-1.166
2025-10-04 05:35:19,20251003173524-TorIP_geocoded -> 20251004173514-TorIP_geocoded,0.007195,0.330
2025-10-05 05:35:18,20251004173514-TorIP_geocoded -> 20251005173523-TorIP_geocoded,0.013756,1.695
2025-10-06 05:35:21,20251005173523-TorIP_geocoded -> 20251006173520-TorIP_geocoded,0.004859,-0.156
2025-10-07 05:35:21,20251006173520-TorIP_geocoded -> 20251007173522-TorIP_geocoded,0.007898,0.476
2025-10-08 05:35:20,20251007173522-TorIP_geocoded -> 20251008173518-TorIP_geocoded,0.010423,1.002
2025-10-09 05:35:22,20251008173518-TorIP_geocoded -> 20251009173527-TorIP_geocoded,0.006647,0.216
2025-10-10 05:35:26,20251009173527-TorIP_geocoded -> 20251010173526-TorIP_geocoded,0.017711,2.517
2025-10-11 05:35:24,20251010173526-TorIP_geocoded -> 20251011173523-TorIP_geocoded,0.002364,-0.674
2025-10-12 05:35:24,20251011173523-TorIP_geocoded -> 20251012173526-TorIP_geocoded,0.006143,0.111
2025-10-13 05:35:25,20251012173526-TorIP_geocoded -> 20251013173525-TorIP_geocoded,0.003291,-0.482
2025-10-14 05:35:24,20251013173525-TorIP_geocoded -> 20251014173524-TorIP_geocoded,0.005607,0.000
